username,tweet_score,reply_score
rascaltweets,-0.088,0.195
scotteblin,0.294,0.706
matteddyba,0.07,0.11
zshirwac1,-0.312,-0.073
imaceliac,0.532,0.456
steveboese,0.213,0.278
fleejack,0.294,0.632
jonathan_bush,0.161,0.234
mariakflynn,0.52,0.538
gblander1,0.057,0.268
eric_mazur,0.099,0.354
lessig,-0.034,-0.069
jimschachter,0.081,0.064
dinvesting,0.022,0.153
matthewxjoseph,0.587,0.652
missusp,0.426,0.293
linkmon99,0.139,0.222
realbanny,0.148,0.075
hacker_,0.045,0.09
angelakennecke,-0.119,-0.233
mredshirtshaw,-0.108,-0.088
paultenhaken,0.17,0.116
theclayclark,-0.037,0.0
trendmicro,-0.107,0.125
jasonbwhitman,-0.159,0.031
drvevanswinters,-0.149,0.019
ptibz,-0.055,0.089
deborahmupapa,0.667,0.0
zainabsirad,0.022,0.085
mattformontana,0.234,-0.319
miapetrakumpula,0.056,0.055
witanddelight,0.085,0.212
rilescat,-0.041,0.125
atteharjanne,0.0,0.0
lzats,0.034,0.167
amahnke,0.008,0.077
stanleycohenlaw,-0.195,-0.188
johnmasonmn,-0.175,-0.135
storageio,0.156,0.294
edaodawano,-0.196,-0.333
daudedosman,-0.306,-0.083
ndnationalguard,0.2,0.364
makenna_mg,0.157,0.144
tiffanytweets80,0.085,0.203
tif_toussaint,0.283,0.36
babysavers,0.355,0.439
zachhalverson,0.116,0.049
enbridge,0.348,0.115
zhaabowekwe,-0.365,-0.183
kbarlowkstp,0.152,0.272
tsdr_trading,0.065,0.077
houseandhome,0.474,0.608
marie_bennett,0.0,0.167
kfyrtv,-0.125,-0.25
rossuglem,-0.067,-0.088
cubeapril,-0.089,-0.057
ptarkkonen,0.072,0.195
akrpr,0.267,0.372
mark_mellett,0.545,0.518
karynpolito,0.76,0.5
janetmillsforme,0.419,-0.048
kaliouby,0.547,0.548
johnbirdswords,0.069,0.211
vdimauro,0.204,0.473
truthcoin,-0.198,-0.175
jessemermell,0.142,0.239
larrykim,0.3,0.109
kimdriscollma,0.765,0.041
rickdoblin,0.243,0.3
agarwaledu,0.53,0.521
lgsusanb,0.482,0.067
daphnezohar,0.138,0.026
neel_shah,-0.181,0.08
diehlforma,0.024,-0.117
skap5,-0.11,0.083
judbrewer,0.324,0.52
ldforry,0.586,0.552
kenfisher,-0.225,-0.128
lydiamedwards,0.116,0.276
govpetershumlin,0.211,0.182
paulreiddublin,0.415,0.05
habibh,0.024,0.206
drchoueiri,0.258,0.265
seankellymep,0.357,0.115
missfree,0.129,0.24
susanbgoldberg,0.175,0.377
coastw,0.125,0.481
g_stordalen,0.088,0.095
kaishappley,0.123,0.215
jgray_nd25,0.176,0.083
afalk,0.25,0.308
complianceweek,-0.226,0.303
dennishousetv,0.095,0.051
jamieeldridgema,0.09,-0.151
janinaochojska,-0.004,-0.003
john4man,-0.162,-0.069
cfoleader,0.286,0.667
jess_intermtn,0.273,0.178
sofiaicarbone,-0.218,-0.058
repjahanahayes,0.168,0.006
nedlamont,0.202,-0.204
jayperedox,0.41,0.333
randyeagar,-0.5,0.167
rexflexasaurus,0.394,0.404
igobydoc,0.277,0.09
melissa_urban,0.0,0.275
thehookie1,0.219,0.439
neerajaiims,0.584,0.524
grifter801,0.056,-0.026
exterroftk,0.167,0.417
drtcates,0.455,0.273
blogworld,0.128,0.215
nichole337,0.257,0.304
dilmerv,0.446,0.348
huhaonft,0.145,0.078
eastontarget,0.154,0.4
actiontargetinc,0.5,0.3
metastock,0.583,0.308
alexboyereal,0.347,0.607
benmcadams,0.104,-0.05
sekercioglu,0.0,0.102
tolmanbrett,0.055,0.021
eastdakota,0.0,0.11
kslsportszone,0.154,0.069
kslsports,0.056,-0.066
toddcrosland,0.273,0.636
daz3d,0.392,0.213
parenting_chaos,0.5,0.727
deidrehenderson,0.22,0.263
chelseaamusic,0.0,0.0
youngliving,0.527,0.442
hunckler,0.276,0.344
behaviorgap,0.059,0.242
johnrampton,0.1,-0.017
ltgovdanforest,-0.065,-0.023
patmccrorync,0.176,-0.35
wastedfood,0.273,0.5
ericfish85,-0.333,-0.375
kennymxu,-0.269,-0.324
jdgreear,-0.1,0.136
grcastleberry,0.273,0.13
myncsenate,-0.263,-0.48
timboyumtv,0.125,0.317
sara__pequeno,0.0,0.06
markrein,0.392,0.141
nancymaclean5,-0.31,-0.103
_jonwood,-0.163,-0.049
ericaforus,0.086,0.0
mikebeckhamsm,0.095,0.139
danielpmaloney,0.385,0.143
revdrbarber,-0.429,-0.292
c_rice1,0.382,0.326
ojeda4america,-0.375,-0.193
barry_switzer,0.222,0.269
kimkimberling,0.667,0.571
lchamberlain44,0.267,0.235
miguelchavis65,0.2,0.393
jillcastilla,0.458,0.583
bigchiefokc,0.019,0.1
jakeryantweet,-0.216,0.078
emilyvirginok,-0.1,0.088
choctawnationok,0.0,0.429
tornadopayne,0.061,0.111
scottwilliams,0.194,0.2
najournalists,0.0,0.667
mikemorgankfor,0.091,0.269
kocomichael,0.105,0.146
svrwxchaser,-0.346,0.167
abbybroyles,-0.154,-0.308
kocodamonlane,0.08,0.197
dirkhooper,0.3,0.2
hypesir7,0.292,0.412
grahambrewer,0.029,0.195
mickcornett,0.265,0.255
blesthemic,1.0,0.75
momspark,0.194,0.542
benfelder_okc,-0.182,-0.114
brianmills247,0.231,0.188
kocoabigail,0.074,0.089
thepespecialist,0.6,0.391
k_law124,0.279,0.301
paulafaris,-0.02,0.178
ghost_0836,0.152,0.146
pletchapjwebb,0.727,0.692
1075thegame,0.167,0.533
adairfromsc,0.255,0.105
andreamocksc,0.381,0.069
ryan_buell,0.151,0.262
harrispastides,0.5,0.43
charlesbloomsc,0.2,0.444
thestefansmith,-0.213,-0.138
averygwilks,-0.048,-0.078
authorkmoran,0.286,0.625
treytri,0.125,0.086
johnmediana,0.0,0.071
royatkinson,0.522,0.556
milonitime,-0.017,0.167
stevelackmeyer,-0.108,0.098
kevindeshazo,0.28,0.312
maejemison,0.5,0.545
harriscojudge,0.182,-0.175
astro_127,0.333,0.512
mathewknowles,0.5,0.667
insidetheleague,-0.125,0.429
linahidalgotx,0.237,-0.232
mikeyfnbrennan,0.188,-0.15
doctorpemm,0.667,0.5
murad_ismael,-0.211,-0.391
viveksubbiah,0.25,0.222
coachregalado,0.053,0.478
producereric,-0.238,0.2
iamshaunie,0.344,0.391
jacobabc13,-0.2,-0.138
nick_anderson_,-0.167,0.0
ericsclay,0.143,-0.333
wvanderbloemen,0.5,0.5
ivoryhecker,-0.312,-0.083
afrdiasporanews,-0.44,-0.235
josejorgeruiz,0.25,0.25
richellecarey,-0.167,0.353
samicaknight13,0.111,0.231
radiodorian,0.059,0.526
chronfalkenberg,-0.316,-0.379
melissafox26,0.75,0.562
miagradneykhou,0.545,0.538
werstanford,0.0,0.0
daniellanbcla,0.412,0.579
hauntedmeg,0.071,0.053
iammarybenton,0.2,0.294
antonioneri_hpe,0.947,0.769
uhpres,0.455,0.613
georgehwbush,0.78,0.495
alysonfooter,0.316,0.042
alungstory,0.231,0.45
cannabis_canada,0.273,-0.077
jiminhofe,0.283,-0.475
lacongresista,0.143,0.143
carolfortexas,0.222,0.333
marcguindonmgis,1.0,1.0
vlennox,0.625,0.6
meganaleslie,-0.143,0.2
allisonauthor,-0.13,-0.031
stablekneez,0.125,0.111
jroberts1324,0.312,0.222
peoplespca,-0.174,-0.143
egbertowillies,-1.0,0.0
sueastonmusic,0.4,0.182
bryanveeeth,0.588,0.353
cba_news,0.0,-0.5
feather,0.2,0.143
robertfife,-0.111,-0.28
davidcoletto,0.062,0.045
mathieufleury,0.278,0.217
algonquincolleg,0.333,0.333
cds_canada_cemd,0.381,0.069
grahamctv,-0.042,-0.147
cmckenney,-0.091,-0.222
vassykapelos,0.13,0.061
maryktaggart,0.778,0.545
justinbarracosa,0.0,0.0
mercedesglobal,-0.08,-0.028
khaledhammadi,-0.3,0.111
braedencaley,-0.143,-0.3
ivisonj,0.083,-0.204
rosiebarton,0.115,-0.024
jchianello,-0.174,-0.118
roymacg,0.2,0.278
murray_brewster,-0.5,-0.286
nilofarmoradi2,0.0,-0.04
habsgirl46,-0.154,0.625
atrachelgilmore,-0.185,-0.333
elie_mcn,0.062,-0.093
glen_mcgregor,-0.188,-0.058
jessmarindavis,-0.158,-0.292
jorgebarrera,-0.143,-0.312
hargreavesbc,0.318,0.5
udaysrana,0.0,0.056
monafortier,0.133,0.059
ctffcepresident,0.083,-0.133
media_sens,0.067,0.238
28cgiroux,0.395,0.267
alexmunter,0.5,0.357
sensprospects,0.211,0.074
hockeyscanner,0.05,0.208
senscentral,0.207,0.0
cdntirectr,0.4,0.727
journo_dale,-0.267,-0.227
pxpottawa,0.069,0.262
graemenichols,0.095,-0.406
davidakin,-0.043,-0.185
cbcottawa,-0.4,-0.5
senators,0.12,0.14
stephanielevitz,-0.182,0.059
sungarrioch,0.037,-0.2
lizt1,0.167,-0.25
thehilltimes,-0.143,-0.375
astro_jose,0.172,0.111
gray_mackenzie,-0.105,-0.322
markjcarney,0.239,0.043
johnibbitson,0.154,-0.163
iamadamwright,0.316,0.292
johnhruiz,0.026,0.043
gmacofglebe,-0.286,-0.19
robbiecrab,0.5,0.438
darrenhardy,0.375,0.3
snyatta,0.074,0.125
zebulgar,-0.118,0.074
jebbush,0.229,-0.152
arrington,-0.259,-0.023
saylor,0.0,-0.017
marceloclaure,0.615,0.275
denniscardiff,0.25,0.6
gbousis,0.25,0.25
yesjulz,0.207,0.029
litcapital,-0.028,-0.105
milktyson,-0.188,0.133
donatellaarpaia,0.588,0.545
vigilanteartist,0.273,0.381
bling0,-0.188,0.0
nikkifinke,-0.2,0.0
twitandrewking,0.042,0.303
anthonykshriver,0.667,0.6
nilerodgers,0.333,0.385
samuelazout,0.0,0.0
lee_schrager,0.455,0.333
acthecollector,0.143,0.167
backus,0.0,0.0
eglantinazingg,0.143,0.25
unclelukereal1,0.0,-0.375
anthonydimoro,0.167,0.235
jbrukh,-0.048,-0.042
sheroxtv,0.0,0.5
jasonhitchcock,-0.1,0.3
gary_bailey1,0.56,0.184
anafabrega11,0.214,0.347
soccerex,0.5,1.0
fioreagostino,0.1,0.133
mayorgimenez,0.3,-0.214
jonoringer,-0.143,0.1
insidetheu,0.0,-0.333
lorenagarcia,0.647,0.273
msweetwood,0.0,-0.2
toprecruitertv,0.0,0.5
judgealexferrer,-0.207,-0.087
carlosdomingo,0.05,0.1
repmariasalazar,0.128,-0.25
nataliacruznews,0.071,0.125
authorlmurphy,0.625,0.4
mfeathers,-0.042,0.065
jarrodglandt,0.214,0.353
fintechie,0.143,0.25
carolinasarassa,-0.167,0.0
louisaguirre,0.1,0.269
angiepereztv,-0.125,0.0
grantstern,-0.455,-0.419
joshjames,0.193,0.194
tomcoburnmd,-0.274,-0.327
pjk4brainhealth,0.065,0.119
muqadasaahmadz2,-0.01,0.041
heidiheitkamp,0.115,-0.061
hinsonashley,0.331,-0.261
karinhousley,0.287,0.042
design2research,0.848,0.734
bullycreative,-0.51,-0.389
roddmartin,-0.333,-0.294
deankarlan,0.011,0.078
natemorris,0.488,0.407
benmcadamsut,0.11,0.037
sabrevaya,0.385,0.452
repcindyaxne,0.045,-0.197
moderatevoters,-0.31,-0.356
toniaantoniazzi,0.124,0.025
dougconant,0.466,0.575
realannapaulina,-0.067,-0.13
lloydhdean,0.566,0.456
inboundmarketer,0.216,0.394
nmhheartdoc,0.669,0.622
karenforky,-0.088,-0.124
jonhusted,0.296,-0.105
chicagodesign,0.221,0.353
braun4indiana,0.116,-0.276
johndagys,0.071,0.121
danielcameronag,0.432,-0.193
tinatchen,0.238,0.117
morganmcgarvey,0.101,0.055
dralethamaybank,0.362,0.542
seenaajimjimo,-0.489,-0.264
chuychicago,-0.02,-0.111
austan_goolsbee,-0.142,-0.137
miller_congress,-0.14,-0.373
citybureaucrat,-0.251,-0.192
sarcasmstardust,-0.272,-0.299
jdvance1,-0.354,-0.38
newmarienewman,0.15,-0.212
leader_ashore,-0.261,-0.17
jcolemanky,0.188,0.4
ted_strickland,0.127,-0.102
laurenunderwood,0.32,0.305
ohiosenategop,0.186,-0.22
deliaramirezil,0.232,0.101
seancasten,-0.211,-0.258
djamaris1,0.051,-0.017
repmarymiller,-0.337,-0.469
senroycewest,0.2,0.357
senatorspearman,0.254,0.313
governorquinn,0.387,-0.069
mrene_author,0.085,0.343
govrauner,0.391,-0.223
jbpritzker,0.246,-0.184
rosenfornevada,-0.133,-0.235
kentuckysports,-0.048,0.174
heraldleader,-0.143,-0.209
astro_seal,0.42,0.47
mattchandler74,0.162,0.44
ypo,0.278,0.619
senjackyrosen,0.229,-0.261
eddiegossage,0.228,0.187
donhuffines,-0.186,-0.216
ohhrogerr,0.082,0.128
sendeanheller,0.386,-0.326
jennyanchondotv,0.167,0.208
presidentperine,0.357,0.737
scottgordondfw,0.667,-0.25
vinesmatthew,0.223,0.189
burudfortexas,-0.149,-0.159
yodittewolde,-0.046,0.018
pedroguerreroj,0.023,0.024
roncorning,0.105,0.21
diannabooher,0.211,0.5
tarahaelle,-0.329,-0.218
arnoldcommajon,0.122,-0.01
cbartonauthor,0.5,0.667
aliehsassi,0.091,-0.2
rdevro,-0.154,-0.281
gurratansingh,-0.034,0.0
iamiqrakhalid,0.364,-0.207
majidjowhari,1.0,1.0
peggynash,0.0,0.231
andreagold,0.667,1.0
mgunningauthor,0.444,0.111
rubysahotalib,0.421,-0.037
salmazahid15,0.429,0.267
sonialiberal,0.375,0.714
rob_oliphant,0.5,0.455
billblair,0.138,-0.25
ttperryplay716,0.2,0.333
leafwax,0.0,0.125
coteau,-0.111,-0.28
plibin,0.13,0.219
upixmusic,0.0,0.0
keith_humphrey,0.25,0.5
portalprophecy,0.2,0.6
pnh,0.136,-0.033
marciien,0.471,0.619
mradamrex,0.143,0.04
bonniecrombie,0.312,0.2
danmarrieskold,0.333,0.267
montanasports,0.0,0.0
gregleding,0.0,-0.4
taramartinedu,0.727,0.308
n2informaticsrn,0.429,0.571
shawnwigg,0.273,0.667
frazierben,-0.19,0.115
paultesori,0.227,0.469
karelynnaspacek,0.875,1.0
ann_sieg,0.364,0.133
fisglobal,0.0,1.0
angienixon,-0.176,-0.158
authorbertedens,0.273,0.357
dablackpope,0.2,0.286
doctorqmd,0.875,0.444
coachjimmydykes,0.308,0.051
johnchick97,0.0,0.29
nealshusterman,0.294,0.429
donnadeegan,0.333,0.222
andrewconnell,0.105,0.08
wjxtvic,-0.1,0.2
revbooyah,0.333,0.2
ryandohrn,1.0,1.0
ifeomaozoma,-0.308,0.25
richardrohrofm,0.136,0.545
areeceauthor,0.5,1.0
kellyhowell,0.25,0.667
govgaryjohnson,0.03,-0.145
jnsmall,0.182,0.143
pamellaneely,0.0,1.0
tracysestili,0.75,0.889
_bolivian,0.038,0.036
lpt365,0.0,0.25
robertegger,-0.5,0.333
marketminute,0.0,0.111
stewartdantec,0.2,0.2
brendadrake,-0.067,0.133
longhornchassis,0.667,0.0
j_cameronlive,0.188,0.333
kcerminara,0.174,0.258
thomasdavissdtm,0.074,0.262
kivilm,0.0,0.333
jouelzy,-0.269,-0.114
jhalifax,0.429,0.1
dougherbert,0.36,0.406
charlottebsb,0.5,0.0
pepman704,0.0,0.75
maxpapis,0.318,0.355
msbiancaak,0.2,0.176
gregatkinson,0.167,0.5
erwanlecorre,-0.048,0.333
melaniewho,0.059,0.478
latesha_byrd,0.0,0.4
indiebusiness,0.857,0.714
stewarthaasrcng,0.25,0.372
candicenicolepr,0.5,0.286
ncdj_asu,0.081,0.242
teresastrasser,0.017,0.19
bencotton81,0.25,0.183
emmajade12news,0.167,0.313
yettagibson,0.405,0.363
jimsmall,-0.17,-0.189
jeremyduda,-0.152,-0.195
karivanhorn,0.243,0.244
paolaboivin,0.048,0.031
authorcjjohnson,0.128,0.19
robertcialdini,0.224,0.298
raquelteran,0.165,0.172
dhalldbacks,0.385,0.435
jlumfox10,-0.066,-0.056
kyrstensinema,0.36,-0.015
ginamaravillatv,0.071,0.262
nightshade386,-0.143,0.024
the_sportspaige,0.06,0.074
seminolealford,0.646,0.537
donyaeger,0.61,0.602
ride_trips,-0.183,-0.159
novocrypto,0.268,0.241
tjsdjs,0.113,0.18
tg_neil,0.256,0.376
mdixon55,-0.114,-0.052
attorneycrump,-0.348,-0.252
tristanwalker,0.429,0.648
michaelayoussef,0.119,0.312
creflo_dollar,0.475,0.592
mattbacak,0.165,0.362
mamasaurusmeg,-0.356,-0.358
realddp,0.335,0.364
bishoppmorton,0.358,0.415
ceomarcusdavis,0.0,0.0
michaelvick,0.343,0.209
philsoutherland,0.655,0.481
jewelmelanie,0.328,0.437
mrronclark_,0.263,0.441
carsonturner,0.089,0.155
thisiskp_,0.385,0.436
ciovaccocapital,0.068,0.106
torrainewalker,-0.197,-0.22
conorsen,-0.029,-0.15
yourlifeafter25,0.06,0.194
davidaklar,0.0,0.0
rotmanwomen,0.5,0.5
raveen64,-0.105,0.333
cjfe,1.0,0.333
jhrnews,0.2,0.2
laurenpelley,-0.111,-0.1
farrahsafiakhan,-0.071,0.267
natashafatah,-0.296,-0.234
arzuyldzz,-0.043,0.032
_todd_young,0.846,0.722
kaetlyn_23,0.542,0.611
conradmblack,-0.318,-0.271
burkie2020,0.514,0.206
markshapiro,0.517,0.24
caroloffcbc,0.05,0.1
omarsachedina,-0.19,0.0
sabaeitizaz,-0.444,0.08
duncanmccue,0.176,0.5
johnpasalis,-0.231,-0.179
avis_favaro,0.0,-0.133
ash_stewart_,-0.368,-0.04
lizrenzetti,0.059,0.048
desmondcole,-0.206,-0.17
colindmello,0.0,-0.2
johnlorinc,-0.235,-0.174
tompodolec,0.0,-0.087
drjacobsrad,-0.421,-0.281
gaspricewizard,-0.517,-0.372
