username,tweet_score,reply_score
aaronmurray11,0.322,0.268
bdtspelman,0.444,0.576
bigdjames,0.314,0.247
boomama,0.283,0.284
brice_butler,0.054,0.114
burtjonesforga,0.477,-0.147
byounker,0.434,0.459
cameronherold,0.279,0.292
cappriccieo,0.375,0.417
carlosdelrio7,0.135,0.061
carstarphenmj,0.429,0.677
caseycagle,0.636,-0.055
chiefbruno,0.333,0.649
codysperber,0.438,0.438
coreeonfire,0.073,0.188
danholme,0.177,0.355
dankeberhart,-0.415,-0.398
dannywuerffel,0.611,0.376
davidshafer,0.032,-0.27
dekalbnewsnow,-0.375,0.125
dmreporter,-0.412,-0.308
doctorkevin,0.0,-0.143
dougjones,0.101,0.114
dougrobersonajc,-0.028,-0.01
dr_whitaker,0.045,0.438
drdeanburke,0.125,0.444
drlynnekenney,0.5,0.595
drrodericktung,0.195,0.258
emilydboulden,0.33,0.414
forceoptions,0.327,0.364
GET Your Head up ☝ GOD GOT U,1.0,1.0
gohsgeorgia,-0.143,-0.095
gravezmusic,0.167,0.259
howardlindzon,0.006,0.0
iamkarenking1,0.205,0.551
ibuildthecloud,-0.142,-0.043
iluvmariah,0.181,0.326
itmtrading_zang,0.075,0.121
itstanyasam,0.287,0.468
jakequery,0.024,0.034
jaysbookman,-0.523,-0.348
jcasap,0.088,0.248
jduffyrice,-0.278,-0.17
jeffgdavis,0.326,0.532
joepolish,0.273,0.495
johnarchibald,-0.099,-0.068
joshforgeorgia,-0.158,-0.054
jtalty,0.0,-0.052
kai_newkirk,-0.23,-0.257
kimbearden,0.596,0.662
kimberlyyeeaz,0.52,-0.069
kpstanfill,0.376,0.467
kwanzahall,0.333,0.287
lauraforczyk,0.195,0.126
lukepell,0.178,0.303
mariramostv,0.112,0.147
mattlisk,-0.111,0.172
melodysholt,0.128,0.029
mhluongo,-0.122,-0.065
mikecollinsga,0.031,-0.182
mimi_albert,0.372,0.438
moazzam_begg,-0.599,-0.383
mr_stark_tweets,-0.241,-0.156
nabilahislam,0.108,0.119
neilretail,-0.125,-0.052
numbertalks,0.467,0.506
parkhowell,0.286,0.405
perribc,0.153,0.255
planetwaterceo,-0.316,-0.308
realjtholmes,0.022,-0.011
recipegirl,0.359,0.458
rigidnation,0.282,0.286
rothmanistan,-0.167,-0.188
scufdunc,0.509,0.344
senatorjen,-0.05,-0.091
steelethoughts,0.355,0.286
stephenfairley,0.4,0.4
thaddeousshade,0.229,0.02
tomforese,0.381,0.217
travelmamas,0.13,0.346
tydetmer14,0.436,0.345
van_moody,0.383,0.392
virgilwalkeroma,-0.135,-0.014
voiceamericatrn,0.5,0.333
volpinprops,-0.066,0.112
heatherstweetin,0.0,0.0
leleelyons,0.235,0.359
davjalex,0.064,0.034
brandonkarsonj,0.068,0.19
mtvceejai,0.038,0.089
adamsconsulting,0.376,0.346
douglascarswell,-0.08,-0.315
mimifaust,0.332,0.335
malikabowling,0.364,0.514
derricknaacp,-0.113,-0.123
authorjasujacks,0.312,0.29
talkingwithtami,0.079,0.31
kloeffler,-0.038,-0.399
jeffsheehan,0.519,0.593
johnmperkins,0.417,0.589
terryivy,0.164,0.723
HALLELUJAH to the LAMB.,0.0,0.5
maellensirleaf,0.549,0.311
richwisdom,-0.162,0.191
guudelp,0.099,0.097
matt_laubhan,0.125,0.19
nixiepixel,0.076,0.117
peterzaitsev,0.138,0.156
cometwtf,0.374,0.302
lior_eth,0.283,0.199
zacsmall_,-0.031,-0.005
lauracohensolo,-0.263,-0.225
powergpu,0.186,0.174
pastorandywocc,0.185,0.492
robletofire,-0.349,-0.256
iholdshift,0.071,0.051
adamdovico,0.262,0.457
nataliew1020,0.013,0.17
babygizmo,0.387,0.611
naturallywild__,-0.036,0.107
cjlawrenceesq,0.131,0.02
emeryexp,-0.113,0.069
mindofandre,0.339,0.482
markyusko,0.144,0.128
tonymerida,0.349,0.412
