username,gender,country,followers,Tweet Sentiment Score,Reply Sentiment Score,F_z,G_z,coher_z,cohes_z,language_score,z_log_replies,z_log_likes,z_log_quotes,z_log_retweets,metric_score,PQ_score
13harmanpreet,Male,India,20029,0.84,0.73,-0.22809135799248964,-0.2996301686076701,-0.13746979118930894,-0.590597723397031,-0.07471703689661591,-0.1216732661901324,0.599458313611876,-0.20136155151530194,-0.05482991943685396,0.05539839411739696,0.3639344874603645
_davidlimbrick,Male,Australia,46630,-0.24,-0.47,0.20272317587122501,0.18748864764387854,-0.14642152533257377,-0.5884923665568784,-0.25583290097016054,1.4507566835277714,1.1887540643661565,1.2087766953560888,1.013060987009771,1.2153371075649468,0.10758440660018856
_pgauthier,Male,France,22940,0.2,0.19,-0.4068841446732365,-0.4560072291708369,-0.04415052084354362,0.5907073238013433,0.268147222741906,-0.5054254135386479,-0.8860062222562815,-0.3669544822829096,-0.69836944228936,-0.6141888900917994,0.016396944299621956
_profanand,Male,India,39289,-0.14,-0.17,0.6820400082493976,0.8892627514007144,-0.06671155245419509,0.004933314808128126,-0.319236235634943,-0.38983783979911096,-0.3909400665625047,-0.10066619968429037,0.08305678198972738,-0.19959683101404468,-0.21017007844399407
aamnaisani,Female,Pakistan,56797,0.08,-0.01,-0.23522404895049803,-0.18576545101181202,-0.22848105310438993,-0.11857888816655575,-0.025964439088736496,0.5062385752792834,0.6619290834693012,0.019976469643925007,-0.09104302720911706,0.27427527529584805,0.09227948709734107
aarohi_voice,Female,India,13542,-0.24,0.1,-0.14535214287959072,-0.19076438983309355,0.18835175487497222,-0.39821112797054065,0.0583805582030674,-0.2290406077526486,-0.2404057846500592,-0.1978677787066172,0.24994267167310544,-0.10434287485905486,-0.0995715512538435
aaronmwallace,Male,United Kingdom,27873,0.08,0.0,-0.35267569339237176,-0.26151860084200196,-0.32176455526191106,0.33559135422074876,0.07036701684129701,-0.7644864539048842,-1.0275547152829656,-0.46544224628839925,-0.8752147578688416,-0.7831745433362728,-0.1426835307816791
abbashafeez,Male,India,12175,-0.36,-0.25,0.15897600466210612,0.11323090686278986,0.587801567189005,0.03725744242032497,0.18355622327475637,-0.7772349141073679,-1.127441592587679,-0.5239980301796132,-0.9178625829424496,-0.8366342799542781,-0.31059170300614264
abbasimukhtiar,Male,Pakistan,20529,0.2,0.17,0.38246698801303963,0.242861508433459,0.7017791319377272,0.031407658249816665,0.14796693717779644,-0.7837913988899247,-0.7370445162451373,-0.38134392682268337,-0.726241443771839,-0.6571053214323961,-0.03138624920476008
abineshelango,Male,India,19963,0.34,0.94,-0.02076780747970858,-0.15419095708935837,0.5002760938328606,0.44755630233824206,0.3112711359536412,-0.6881095152250228,-0.7478851673708209,-0.4452002657589384,-0.47477968986286145,-0.5889936595544111,0.1291329258974896
achillean,Male,United States,25378,0.14,0.33,-0.05833331319188675,-0.0338318916231175,-0.2678876026147226,0.6105215774454319,0.03583245756307523,-0.608242287130374,-0.8763510658214462,-0.5198866002715671,-0.5432490873406571,-0.6369322601410111,-0.0759833277663302
adambellow,Male,United States,45345,0.76,0.6,0.14708818639875856,-0.021569537420486607,-0.4908218472599018,0.13836089209116,-0.21062606266330752,-0.5709086386057927,-0.7262675629786597,-0.5239980301796132,-0.4617839647077369,-0.5707395491179509,0.12812729392152006
adamshareefz,Male,Maldives,14967,0.1,-0.21,0.42716518468322645,0.5188285669519006,-0.167253575120318,-0.32512896703844424,-0.311959635555974,-0.7091283455419733,-0.9021380048405778,-0.43025884027451866,-0.5796634934610203,-0.6552971710295223,-0.2279121834241728
adamsinger,Male,United States,81197,-0.1,-0.03,0.38532006439624306,0.3885143498159281,-0.3425679742606714,-0.24624129877928586,-0.3407229037605915,0.6238429391375937,0.3815758495400649,0.07875767543859291,-0.30223903645485695,0.19548435691534866,-0.09484578189934027
ademsomyurek,Male,Australia,26528,-0.38,-0.27,0.5412882400113628,0.5897964078249662,-0.0012449944553822943,-0.5384814222811763,-0.32956039502429363,0.5621803010659852,0.26394312625474387,0.5005327707707835,0.17982186138600537,0.3766195148693795,-0.17021323978994327
